short_title;full_title
Math. Program.;Mathematical Programming
Math. Oper. Res.; Mathematics of Operations Research
SIAM J. Optim.;SIAM Journal on Optimization
SIAM J. Imaging Sci.;SIAM Journal on Imaging Sciences
SIAM J. Math. Data Sci.;SIAM Journal on Mathematics of Data Science
Inverse Problems;Inverse Problems
J. Comput. Appl. Math.;Journal of Computational and Applied Mathematics
Neural Comput.; Neural Computation
J. Optim. Theory Appl.;Journal of Optimization Theory and Applications
J. Convex Anal.; Journal of Convex Analysis
J. Appl. Numer. Optim.; Journal of Applied and Numerical Optimization
Op. Res. Lett.; Operations Research Letters
IEEE Trans. Med. Imag.;IEEE Transactions on Medical Imaging
IEEE Trans. Signal Process.;IEEE Transactions on Signal Processing
IEEE Trans. Image Process.;IEEE Transactions on Image Processing
IEEE Trans. Med. Imag.;IEEE Transations on Medical Imaging
IEEE Trans. Radiat. Plasma Med. Sci.;IEEE Transactions on Radiation and Plasma Medical Sciences 
Optimization;Optimization
Multiscale Model. Simul.; Multiscale Modeling \& Simulation
J. Math. Imaging Vision;Journal of Mathematical Imaging and Vision
Trans. Amer. Math. Soc.;Transactions of the American Mathematical Society
J. R. Stat. Soc., B: Stat. Methodol.;Journal of the Royal Statistical Society. Series B: Statistical Methodology 
J. Opt. Soc. Am.;Journal of the Optical Society of America
Amer. Statist.;The American Statistician
Astron. J.;The Astronomical Journal
Ann. Univ. Ferrara;Annali Dell'Universita' Di Ferrara
Theranostics;Theranostics
Nature;Nature